molecule,method,nb_params,circuit,nb_samples,signed_energy_error,abs_energy_error,sample_std
BeH2,ADAPT-VQE (UCC pool),1,adapt_01_params,1,-0.020449256472112154,0.020449256472112154,0.0
BeH2,ADAPT-VQE (UCC pool),2,adapt_02_params,1,0.0022624343984531947,0.0022624343984531947,0.0
BeH2,ADAPT-VQE (UCC pool),3,adapt_03_params,1,0.024032205365564607,0.024032205365564607,0.0
BeH2,ADAPT-VQE (UCC pool),4,adapt_04_params,1,0.015457358780871289,0.015457358780871289,0.0
BeH2,ADAPT-VQE (UCC pool),5,adapt_05_params,1,0.02444471609259935,0.02444471609259935,0.0
BeH2,ADAPT-VQE (UCC pool),6,adapt_06_params,1,-0.010121057187646443,0.010121057187646443,0.0
BeH2,ADAPT-VQE (UCC pool),7,adapt_07_params,1,-0.01621556354449183,0.01621556354449183,0.0
BeH2,ADAPT-VQE (UCC pool),8,adapt_08_params,1,-0.017516639850910565,0.017516639850910565,0.0
BeH2,ADAPT-VQE (UCC pool),9,adapt_09_params,1,-0.020330973781064188,0.020330973781064188,0.0
BeH2,ADAPT-VQE (generalized pool),1,adapt_01_params,1,0.014250855346681135,0.014250855346681135,0.0
BeH2,ADAPT-VQE (generalized pool),2,adapt_02_params,1,-0.004882823756840793,0.004882823756840793,0.0
BeH2,ADAPT-VQE (generalized pool),3,adapt_03_params,1,0.021389859405719136,0.021389859405719136,0.0
BeH2,ADAPT-VQE (generalized pool),4,adapt_04_params,1,0.0024734535607962016,0.0024734535607962016,0.0
BeH2,ADAPT-VQE (generalized pool),5,adapt_05_params,1,0.0050058089253681715,0.0050058089253681715,0.0
BeH2,ADAPT-VQE (generalized pool),6,adapt_06_params,1,-0.011375547228453797,0.011375547228453797,0.0
BeH2,ADAPT-VQE (generalized pool),7,adapt_07_params,1,-0.01226153748208958,0.01226153748208958,0.0
BeH2,ADAPT-VQE (generalized pool),8,adapt_08_params,1,0.007106538068804014,0.007106538068804014,0.0
BeH2,ADAPT-VQE (generalized pool),9,adapt_09_params,1,-0.0019306273030288423,0.0019306273030288423,0.0
BeH2,QMC-Givens,0,0_givens,10,0.023148143328068825,0.023148143328068825,0.006590599854107386
BeH2,QMC-Givens,1,1_givens,10,0.0002884234147355613,0.0002884234147355613,0.012813492104383293
BeH2,QMC-Givens,2,2_givens,10,-0.001020228447456617,0.001020228447456617,0.009931912771062102
BeH2,QMC-Givens,3,3_givens,10,-0.0007021909461833786,0.0007021909461833786,0.0075477427923976255
BeH2,QMC-Givens,5,5_givens,10,-0.006450692203668141,0.006450692203668141,0.009796316513347033
BeH2,QMC-Givens,6,6_givens,10,-0.0020923007382148027,0.0020923007382148027,0.013129976146334819
BeH2,QMC-Givens,7,7_givens,10,-0.0013148731564879058,0.0013148731564879058,0.008854482362600039
BeH2,QMC-Givens,9,9_givens,10,0.0009281207678153436,0.0009281207678153436,0.008982333286704605
BeH2,QMC-UCC,1,BeH2_1,1,0.010975672527173685,0.010975672527173685,0.0
BeH2,QMC-UCC,2,BeH2_2,1,0.0324751019406726,0.0324751019406726,0.0
BeH2,QMC-UCC,4,BeH2_4,1,0.023991584900812768,0.023991584900812768,0.0
BeH2,QMC-UCC,5,BeH2_5,1,0.04264877398918543,0.04264877398918543,0.0
BeH2,QMC-UCC,6,BeH2_6,1,0.01919304445264558,0.01919304445264558,0.0
BeH2,QMC-UCC,7,BeH2_7,1,0.015971198031984102,0.015971198031984102,0.0
BeH2,QMC-UCC,9,BeH2_9,1,0.04043434721976524,0.04043434721976524,0.0
LiH_6_spinorbs,ADAPT-VQE (UCC pool),1,adapt_01_params,1,-0.006384540469239752,0.006384540469239752,0.0
LiH_6_spinorbs,ADAPT-VQE (UCC pool),2,adapt_02_params,1,0.012491644605420404,0.012491644605420404,0.0
LiH_6_spinorbs,ADAPT-VQE (UCC pool),3,adapt_03_params,1,0.006054029373244063,0.006054029373244063,0.0
LiH_6_spinorbs,ADAPT-VQE (UCC pool),4,adapt_04_params,1,0.021381157630933956,0.021381157630933956,0.0
LiH_6_spinorbs,ADAPT-VQE (UCC pool),5,adapt_05_params,1,0.004813930515208398,0.004813930515208398,0.0
LiH_6_spinorbs,ADAPT-VQE (UCC pool),6,adapt_06_params,1,0.0025321151058044222,0.0025321151058044222,0.0
LiH_6_spinorbs,ADAPT-VQE (UCC pool),7,adapt_07_params,1,-0.005038346754295375,0.005038346754295375,0.0
LiH_6_spinorbs,ADAPT-VQE (generalized pool),1,adapt_01_params,1,-0.0029232554022833313,0.0029232554022833313,0.0
LiH_6_spinorbs,ADAPT-VQE (generalized pool),2,adapt_02_params,1,0.0033663676923936237,0.0033663676923936237,0.0
LiH_6_spinorbs,ADAPT-VQE (generalized pool),3,adapt_03_params,1,0.002033302501919465,0.002033302501919465,0.0
LiH_6_spinorbs,ADAPT-VQE (generalized pool),4,adapt_04_params,1,-0.0024090749085132757,0.0024090749085132757,0.0
LiH_6_spinorbs,ADAPT-VQE (generalized pool),5,adapt_05_params,1,-0.003101098933598223,0.003101098933598223,0.0
LiH_6_spinorbs,ADAPT-VQE (generalized pool),6,adapt_06_params,1,-0.009216889051922195,0.009216889051922195,0.0
